04/04 09:22:00 FINE sim.Admin|Log for simulation 2 started
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 1
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 2443
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 2285
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 2370
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 2595
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 2291
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 147562520 Cmp Bid: 1
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from adv1 : UCS Bid: 0.15323115745903299 Cmp ID: 147562520 Cmp Bid: 998305
04/04 09:22:30 INFO sim.Simulation|***** START OF TIME 3 *****
04/04 09:22:30 INFO agents.DemandAgent|Day 3 : Auction pending campaign: CampaignImpl [id=147562520, reachImps=12500, dayStart=4, dayEnd=13, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Reporting auction results...CampaignImpl [id=147562520, reachImps=12500, dayStart=4, dayEnd=13, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2.291, advertiser=DummyAdnetwork-3]
04/04 09:22:30 INFO agents.DemandAgent|Day 3 :Notifying new campaign opportunity: CampaignImpl [id=1760748227, reachImps=3750, dayStart=5, dayEnd=9, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:30 INFO sim.Simulation|***** START OF TIME 3 COMPLETE *****
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 1
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 2084
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 2759
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 3173
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 2445
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 3115
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1760748227 Cmp Bid: 1
04/04 09:22:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1558017468425164 Cmp ID: 1760748227 Cmp Bid: 609305
04/04 09:22:40 INFO sim.Simulation|***** START OF TIME 4 *****
04/04 09:22:40 INFO agents.DemandAgent|Day 4 : Auction pending campaign: CampaignImpl [id=1760748227, reachImps=3750, dayStart=5, dayEnd=9, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Reporting auction results...CampaignImpl [id=1760748227, reachImps=3750, dayStart=5, dayEnd=9, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=2.445, advertiser=DummyAdnetwork-2]
04/04 09:22:40 INFO agents.DemandAgent|Day 4 :Notifying new campaign opportunity: CampaignImpl [id=758982279, reachImps=3750, dayStart=6, dayEnd=8, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:40 INFO sim.Simulation|***** START OF TIME 4 COMPLETE *****
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 1
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 3275
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 2577
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 1
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 2931
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 3080
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 758982279 Cmp Bid: 1
04/04 09:22:40 FINE agents.DemandAgent|Day 4 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1670258590480045 Cmp ID: 758982279 Cmp Bid: 995174
04/04 09:22:50 INFO sim.Simulation|***** START OF TIME 5 *****
04/04 09:22:50 INFO agents.DemandAgent|Day 5 : Auction pending campaign: CampaignImpl [id=758982279, reachImps=3750, dayStart=6, dayEnd=8, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Reporting auction results...CampaignImpl [id=758982279, reachImps=3750, dayStart=6, dayEnd=8, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=2.931, advertiser=DummyAdnetwork-3]
04/04 09:22:50 INFO agents.DemandAgent|Day 5 :Notifying new campaign opportunity: CampaignImpl [id=851596766, reachImps=12500, dayStart=7, dayEnd=16, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:50 INFO sim.Simulation|***** START OF TIME 5 COMPLETE *****
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 1
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 2270
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 2385
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 1
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 2956
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 2689
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 851596766 Cmp Bid: 1
04/04 09:22:50 FINE agents.DemandAgent|Day 5 :Got AdNetBidMessage from adv1 : UCS Bid: 0.13810825313228584 Cmp ID: 851596766 Cmp Bid: 1013430
04/04 09:23:00 INFO sim.Simulation|***** START OF TIME 6 *****
04/04 09:23:00 INFO agents.DemandAgent|Day 6 : Auction pending campaign: CampaignImpl [id=851596766, reachImps=12500, dayStart=7, dayEnd=16, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 962491367 ended for advertiser DummyAdnetwork. Stats CampaignStats [tartgetedImps=1253.0, otherImps=0.0, cost=6.919125249655951E-4] Reach 1250 ERR 1.0023493962120988 Budget 1.25 Revenue 1.2529367452651234
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 1215757902 ended for advertiser DummyAdnetwork-7. Stats CampaignStats [tartgetedImps=1257.0, otherImps=0.0, cost=6.185879239710653E-4] Reach 1250 ERR 1.0054975484281474 Budget 1.25 Revenue 1.2568719355351843
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 1352168008 ended for advertiser DummyAdnetwork-6. Stats CampaignStats [tartgetedImps=1257.0, otherImps=0.0, cost=6.588653439051841E-4] Reach 1250 ERR 1.0054975484281474 Budget 1.25 Revenue 1.2568719355351843
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 1187030418 ended for advertiser adv1. Stats CampaignStats [tartgetedImps=0.0, otherImps=0.0, cost=0.0] Reach 1250 ERR 0.0 Budget 1.25 Revenue 0.0
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 965790062 ended for advertiser DummyAdnetwork-5. Stats CampaignStats [tartgetedImps=1255.0, otherImps=0.0, cost=2560.0002963961956] Reach 1250 ERR 1.0039286166590384 Budget 1.25 Revenue 1.254910770823798
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 1013554238 ended for advertiser DummyAdnetwork-4. Stats CampaignStats [tartgetedImps=1258.0, otherImps=0.0, cost=1260.0005104883728] Reach 1250 ERR 1.0062781774038136 Budget 1.25 Revenue 1.257847721754767
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 1121142088 ended for advertiser DummyAdnetwork-3. Stats CampaignStats [tartgetedImps=426.0, otherImps=0.0, cost=2560.0] Reach 1250 ERR 0.10771646236082753 Budget 1.25 Revenue 0.1346455779510344
04/04 09:23:00 INFO demand.CampaignImpl|Campaign 1745575965 ended for advertiser DummyAdnetwork-2. Stats CampaignStats [tartgetedImps=1254.0, otherImps=0.0, cost=1280.0004990316138] Reach 1250 ERR 1.0031402967907708 Budget 1.25 Revenue 1.2539253709884635
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Reporting auction results...CampaignImpl [id=851596766, reachImps=12500, dayStart=7, dayEnd=16, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2.3850000000000002, advertiser=DummyAdnetwork-2]
04/04 09:23:00 INFO agents.DemandAgent|Day 6 :Notifying new campaign opportunity: CampaignImpl [id=262487747, reachImps=12500, dayStart=8, dayEnd=10, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:00 INFO sim.Simulation|***** START OF TIME 6 COMPLETE *****
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 1
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 2360
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 2060
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 1
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 1
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 2071
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 262487747 Cmp Bid: 1
04/04 09:23:00 FINE agents.DemandAgent|Day 6 :Got AdNetBidMessage from adv1 : UCS Bid: 0.12209900349506789 Cmp ID: 262487747 Cmp Bid: 3378101
04/04 09:23:10 INFO sim.Simulation|***** START OF TIME 7 *****
04/04 09:23:10 INFO agents.DemandAgent|Day 7 : Auction pending campaign: CampaignImpl [id=262487747, reachImps=12500, dayStart=8, dayEnd=10, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:10 INFO demand.CampaignImpl|Campaign 2083641356 ended for advertiser DummyAdnetwork-6. Stats CampaignStats [tartgetedImps=0.0, otherImps=0.0, cost=0.0] Reach 6250 ERR 0.0 Budget 2435.0 Revenue 0.0
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Reporting auction results...CampaignImpl [id=262487747, reachImps=12500, dayStart=8, dayEnd=10, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2.3633315910077957, advertiser=DummyAdnetwork-6]
04/04 09:23:10 INFO agents.DemandAgent|Day 7 :Notifying new campaign opportunity: CampaignImpl [id=1704258817, reachImps=12500, dayStart=9, dayEnd=11, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:10 INFO sim.Simulation|***** START OF TIME 7 COMPLETE *****
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1704258817 Cmp Bid: 1
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1704258817 Cmp Bid: 2879
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1704258817 Cmp Bid: 3044
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1704258817 Cmp Bid: 1
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1704258817 Cmp Bid: 1
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.0 Cmp ID: 1704258817 Cmp Bid: 2029
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1704258817 Cmp Bid: 1
04/04 09:23:10 FINE agents.DemandAgent|Day 7 :Got AdNetBidMessage from adv1 : UCS Bid: 0.13740227360738683 Cmp ID: 1704258817 Cmp Bid: 3327686
04/04 09:23:20 INFO sim.Simulation|***** START OF TIME 8 *****
04/04 09:23:20 INFO agents.DemandAgent|Day 8 : Auction pending campaign: CampaignImpl [id=1704258817, reachImps=12500, dayStart=9, dayEnd=11, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Reporting auction results...CampaignImpl [id=1704258817, reachImps=12500, dayStart=9, dayEnd=11, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=6.563795369803278, advertiser=DummyAdnetwork-2]
04/04 09:23:20 INFO agents.DemandAgent|Day 8 :Notifying new campaign opportunity: CampaignImpl [id=1376998104, reachImps=12500, dayStart=10, dayEnd=14, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:20 INFO sim.Simulation|***** START OF TIME 8 COMPLETE *****
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1376998104 Cmp Bid: 1
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.0 Cmp ID: 1376998104 Cmp Bid: 2787
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1376998104 Cmp Bid: 3117
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1376998104 Cmp Bid: 1
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1376998104 Cmp Bid: 1
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.0 Cmp ID: 1376998104 Cmp Bid: 2901
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1376998104 Cmp Bid: 1
04/04 09:23:20 FINE agents.DemandAgent|Day 8 :Got AdNetBidMessage from adv1 : UCS Bid: 0.12655440834797196 Cmp ID: 1376998104 Cmp Bid: 2016786
04/04 09:23:30 INFO sim.Simulation|***** START OF TIME 9 *****
04/04 09:23:30 INFO agents.DemandAgent|Day 9 : Auction pending campaign: CampaignImpl [id=1376998104, reachImps=12500, dayStart=10, dayEnd=14, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:23:30 INFO demand.CampaignImpl|Campaign 758982279 ended for advertiser DummyAdnetwork-3. Stats CampaignStats [tartgetedImps=3757.0, otherImps=0.0, cost=5.956618132910294E-4] Reach 3750 ERR 1.0018206912125975 Budget 2.931 Revenue 2.9363364459441232
